Message,summary
go until jurong point  crazy   available only in bugis n great world la e buffet    cine there got amore wat   ,Cinema is available only in bugis n great world la e buffet    cine there got amore wat. go until jurong point  crazy.
ok lar    joking wif u oni   ,"Ok lar,    joking wif u oni. ok lar.  I'm joking. I'm not serious."
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,Free entry in 2 a wkly comp to win fa cup final. Text fa to 87121 to receive entry question.
u dun say so early hor    u c already then say   ,"U dun say so early hor    u c already then say   ""I'm so sorry""   ""I'm sorry I'm so late"" ""I've got to go now"""
nah i don t think he goes to usf  he lives around here though,Nah i don t think he goes to usf  he lives around here though though. nah iDon't think he Goes to Usf.  He Lives Around Here.
freemsg hey there darling it s been 3 week s now and no word back  i d like some fun you up for it still  tb ok  xxx std chgs to send   1 50 to rcv, freemsg hey there darling it s been 3 week s now and no word back  i d like some fun you up for it still  tb ok  xxx std chgs to send   1 50 to rcv.
even my brother is not like to speak with me  they treat me like aids patent , even my brother is not like to speak with me  they treat me like aids patent.
as per your request  melle melle  oru minnaminunginte nurungu vettam   has been set as your callertune for all callers  press  9 to copy your friends callertune, melle melle  oru minnaminunginte nurungu vettam   has been set as your callertune for all callers. press  9 to copy your friendscallertune.
winner   as a valued network customer you have been selected to receivea  900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only ,Call 09061701461  claim code kl341  valid 12 hours only. winner   as a valued network customer you have been selected to receive a 900 prize reward.
had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera for free  call the mobile update co free on 08002986030,Had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera for free  call the mobile update co free on 08002986030.
